id,social-security-number,house-number,age-group,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country-code,native-country,label
8616,552701574.0,9854.0,2,self-emp-inc,270079.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,3,USA,united-states,1.0
21982,956556990.0,7588.0,3,local-gov,146325.0,doctorate,16.0,married-civ-spouse,prof-specialty,husband,white,male,0,2,2,USA,united-states,1.0
11191,958358623.0,6729.0,0,private,240767.0,hs-grad,9.0,never-married,other-service,not-in-family,white,female,0,0,1,USA,united-states,0.0
22229,224206693.0,6288.0,2,private,118536.0,hs-grad,9.0,divorced,machine-op-inspct,other-relative,black,male,0,0,2,USA,united-states,0.0
20732,276413230.0,8276.0,3,private,160440.0,bachelors,13.0,married-civ-spouse,sales,husband,white,male,0,0,3,USA,united-states,1.0
4217,703672017.0,5599.0,3,private,246519.0,10th,6.0,married-civ-spouse,handlers-cleaners,husband,white,male,1,0,2,USA,united-states,0.0
11509,212194979.0,9861.0,2,private,185567.0,hs-grad,9.0,divorced,machine-op-inspct,unmarried,white,male,0,0,2,USA,united-states,1.0
23787,786885114.0,418.0,2,private,222142.0,some-college,10.0,married-civ-spouse,craft-repair,husband,white,male,1,0,2,USA,united-states,0.0
20848,958809109.0,5629.0,1,private,218955.0,bachelors,13.0,married-civ-spouse,sales,husband,white,male,0,0,2,USA,united-states,0.0
14739,664455979.0,3700.0,3,private,260106.0,hs-grad,9.0,widowed,sales,not-in-family,white,female,0,0,1,USA,united-states,0.0
6870,261887688.0,7331.0,1,state-gov,227931.0,some-college,10.0,divorced,adm-clerical,not-in-family,white,female,0,0,2,USA,united-states,0.0
11931,335077144.0,8089.0,4,local-gov,158412.0,hs-grad,9.0,widowed,adm-clerical,not-in-family,white,female,0,0,2,USA,united-states,0.0
21682,799923452.0,1824.0,2,private,234891.0,some-college,10.0,divorced,handlers-cleaners,not-in-family,amer-indian-eskimo,female,0,0,2,USA,united-states,0.0
26167,175962363.0,4841.0,0,private,167031.0,some-college,10.0,never-married,other-service,other-relative,other,female,0,0,1,ECU,ecuador,0.0
18388,902456846.0,807.0,1,private,309974.0,some-college,10.0,separated,tech-support,unmarried,black,female,0,0,2,USA,united-states,0.0
23083,333936482.0,3842.0,1,private,72887.0,some-college,10.0,married-civ-spouse,sales,husband,asian-pac-islander,male,0,0,2,USA,united-states,1.0
21202,525338144.0,3889.0,1,self-emp-not-inc,212041.0,bachelors,13.0,never-married,sales,not-in-family,white,male,0,0,3,USA,united-states,0.0
9334,510142764.0,1696.0,0,,180339.0,some-college,10.0,never-married,,own-child,white,female,0,0,1,USA,united-states,0.0
3511,286489695.0,2914.0,0,private,157541.0,hs-grad,9.0,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,3,USA,united-states,0.0
12863,680855166.0,6880.0,0,private,160261.0,masters,14.0,never-married,prof-specialty,not-in-family,asian-pac-islander,male,0,0,0,FRA,france,0.0
433,138476272.0,8005.0,2,private,146906.0,masters,14.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,3,USA,united-states,1.0
6603,529251551.0,2270.0,2,self-emp-not-inc,175120.0,some-college,10.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states,1.0
27786,901581673.0,1361.0,2,self-emp-not-inc,34378.0,hs-grad,9.0,married-civ-spouse,farming-fishing,husband,white,male,0,0,3,USA,united-states,0.0
18331,202095867.0,4606.0,2,private,214781.0,masters,14.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states,1.0
8760,110109404.0,4842.0,3,state-gov,30219.0,some-college,10.0,married-civ-spouse,exec-managerial,husband,white,male,3,0,2,USA,united-states,1.0
20004,328732228.0,2575.0,4,,247986.0,prof-school,15.0,married-civ-spouse,,husband,white,male,0,0,1,USA,united-states,1.0
10884,129175539.0,5127.0,3,private,142719.0,hs-grad,9.0,married-spouse-absent,farming-fishing,not-in-family,white,male,0,0,4,USA,united-states,0.0
26879,663123735.0,1666.0,1,private,608881.0,hs-grad,9.0,never-married,craft-repair,not-in-family,black,male,0,0,2,USA,united-states,0.0
14858,797570563.0,3326.0,2,private,222596.0,hs-grad,9.0,divorced,tech-support,not-in-family,white,male,0,0,3,USA,united-states,1.0
11097,755836278.0,3586.0,1,private,295591.0,5th-6th,3.0,married-spouse-absent,craft-repair,not-in-family,white,male,0,0,2,MEX,mexico,0.0
1535,177355201.0,1921.0,4,private,178353.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,0,0,3,USA,united-states,1.0
2878,793184461.0,4860.0,1,private,179579.0,hs-grad,9.0,married-civ-spouse,adm-clerical,husband,white,male,0,0,2,USA,united-states,0.0
5140,164662748.0,2506.0,1,private,232666.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states,0.0
16215,233766089.0,8014.0,4,private,232337.0,7th-8th,4.0,divorced,machine-op-inspct,not-in-family,white,male,0,0,2,USA,united-states,0.0
19707,637290285.0,3697.0,4,private,117299.0,hs-grad,9.0,married-civ-spouse,transport-moving,husband,white,male,0,0,2,USA,united-states,1.0
1272,804914529.0,783.0,0,private,145964.0,some-college,10.0,married-civ-spouse,craft-repair,husband,white,male,2,0,3,USA,united-states,1.0
21131,229747514.0,9560.0,1,private,246449.0,hs-grad,9.0,never-married,other-service,not-in-family,white,male,1,0,3,USA,united-states,0.0
6307,236141104.0,5236.0,0,private,35065.0,hs-grad,9.0,never-married,transport-moving,not-in-family,black,male,0,0,1,USA,united-states,0.0
18127,280746215.0,1272.0,1,private,181667.0,hs-grad,9.0,married-civ-spouse,machine-op-inspct,husband,white,male,2,0,3,CAN,canada,0.0
5836,338875576.0,3833.0,4,self-emp-not-inc,113440.0,bachelors,13.0,married-civ-spouse,prof-specialty,husband,white,male,4,0,2,USA,united-states,1.0
18651,288076390.0,4987.0,1,private,81540.0,hs-grad,9.0,never-married,handlers-cleaners,not-in-family,white,male,0,0,2,USA,united-states,0.0
3652,251750472.0,3169.0,3,private,174662.0,hs-grad,9.0,married-civ-spouse,transport-moving,husband,white,male,0,0,1,USA,united-states,0.0
19763,842757545.0,9143.0,3,private,355954.0,some-college,10.0,married-civ-spouse,craft-repair,husband,white,male,0,0,3,USA,united-states,1.0
