id,social-security-number,house-number,age-group,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country-code,native-country
6111,565712576.0,9337.0,0,private,287357.0,11th,7.0,married-civ-spouse,protective-serv,husband,white,male,0,0,2,USA,united-states
11214,329599477.0,6457.0,1,private,167558.0,hs-grad,9.0,never-married,sales,unmarried,white,female,0,0,1,MEX,mexico
5554,222432362.0,189.0,4,private,27385.0,hs-grad,9.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,3,USA,united-states
25131,209882990.0,2048.0,2,local-gov,153976.0,masters,14.0,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,USA,united-states
14324,936607310.0,8185.0,3,private,20956.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states
26678,501568951.0,9008.0,1,private,136331.0,hs-grad,9.0,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,2,USA,united-states
16233,715883948.0,3239.0,4,private,199193.0,hs-grad,9.0,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,1,USA,united-states
27820,707153881.0,1774.0,1,self-emp-not-inc,92531.0,hs-grad,9.0,divorced,craft-repair,unmarried,white,male,0,0,2,USA,united-states
26402,802612373.0,1981.0,3,private,105428.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states
312,118217294.0,5591.0,2,private,81132.0,some-college,10.0,married-civ-spouse,craft-repair,other-relative,asian-pac-islander,male,0,0,2,PHL,philippines
23063,615084601.0,9469.0,3,federal-gov,192894.0,hs-grad,9.0,married-civ-spouse,transport-moving,husband,black,male,0,0,3,USA,united-states
4148,297841756.0,1734.0,1,private,189565.0,hs-grad,9.0,never-married,exec-managerial,not-in-family,white,male,1,0,3,USA,united-states
24006,131703920.0,7363.0,4,private,245193.0,masters,14.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,3,USA,united-states
7231,402221941.0,6217.0,2,private,174189.0,some-college,10.0,married-civ-spouse,sales,husband,white,male,0,0,3,USA,united-states
12798,221514130.0,7232.0,2,state-gov,392167.0,bachelors,13.0,married-civ-spouse,adm-clerical,husband,white,male,0,0,2,USA,united-states
6087,910673490.0,7267.0,2,private,170721.0,some-college,10.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states
6440,489301834.0,1997.0,3,state-gov,363875.0,some-college,10.0,divorced,protective-serv,unmarried,amer-indian-eskimo,female,0,0,2,USA,united-states
4685,441365672.0,1974.0,1,private,203034.0,bachelors,13.0,separated,sales,not-in-family,white,male,0,4,3,USA,united-states
5094,607265089.0,2771.0,4,private,207116.0,hs-grad,9.0,married-spouse-absent,other-service,not-in-family,white,male,0,0,2,USA,united-states
15170,855356683.0,287.0,1,private,345898.0,hs-grad,9.0,never-married,craft-repair,not-in-family,black,male,0,0,3,USA,united-states
23119,499268418.0,2105.0,3,private,153484.0,masters,14.0,married-civ-spouse,exec-managerial,husband,white,male,0,3,3,USA,united-states
626,901277436.0,694.0,0,private,143062.0,hs-grad,9.0,never-married,sales,own-child,white,male,0,0,2,USA,united-states
4989,300220290.0,1147.0,2,private,22245.0,hs-grad,9.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,3,USA,united-states
3581,619643540.0,6587.0,0,local-gov,267843.0,bachelors,13.0,never-married,prof-specialty,own-child,black,female,0,0,1,USA,united-states
25935,140890941.0,4770.0,0,private,179392.0,hs-grad,9.0,never-married,other-service,own-child,white,female,0,0,0,USA,united-states
13804,820777836.0,3557.0,3,private,158746.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,white,male,0,3,3,USA,united-states
8101,730918529.0,3148.0,0,private,23856.0,11th,7.0,never-married,exec-managerial,own-child,white,female,0,0,0,USA,united-states
19938,856162600.0,7887.0,2,private,309230.0,some-college,10.0,married-civ-spouse,craft-repair,husband,white,male,0,0,2,USA,united-states
27229,228509312.0,6631.0,3,private,228516.0,some-college,10.0,married-civ-spouse,other-service,husband,white,male,0,0,1,USA,united-states
20650,957580336.0,5788.0,3,private,230657.0,hs-grad,9.0,married-civ-spouse,machine-op-inspct,husband,other,male,2,0,2,COL,columbia
15785,646456308.0,4206.0,3,private,175958.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,white,male,0,0,3,USA,united-states
8887,660606766.0,5817.0,2,private,212437.0,some-college,10.0,widowed,machine-op-inspct,unmarried,black,female,0,0,3,USA,united-states
